NAME,STAR,PER,MASS,SEP,R,PLANETDISCMETH,MSTAR,RSTAR,TEFF,DATE,DENSITY,LUMINOSITY,MISSION
GJ 674 b,GJ 674,4.6938,0.034879,0.0386657,N/A,RV,0.35,N/A,3600,2007,N/A,N/A,GJ
HD 7924 c,HD 7924,15.299,0.0248402,0.113438,N/A,RV,0.832,0.7821,5177,2015,N/A,0.39366449784836843,HD
Kepler-57 c,Kepler-57,11.6092567,0.0115953,0.0942979,0.138158,Transit,0.83,0.73,5145,2013,4.3969963700027686,0.33456172536132966,Kepler
HD 168443 c,HD 168443,1749.83,17.3857,2.85281,N/A,RV,0.995,1.58859,5491,2001,N/A,2.0555045485177197,HD
Kepler-172 c,Kepler-172,6.388996,0.0245625,0.0673847,0.255152,Transit,N/A,1.085,5526,2014,1.478692491991773,0.9835399775980975,Kepler
WASP-70 A b,WASP-70 A,3.7130203,0.590076,0.0485382,1.164,Transit,1.106,1.215,5700,2014,0.37415473081180156,1.3961786644384215,WASP
Kepler-400 c,Kepler-400,17.340824,0.0115291,0.131115,0.132929,Transit,N/A,1.145,5886,2014,4.908382780974393,1.4098763416456723,Kepler
Kepler-220 e,Kepler-220,45.902733,0.00789025,0.250899,0.118655,Transit,N/A,0.666,4632,2014,4.723183989093802,0.18294126581733003,Kepler
WASP-57 b,WASP-57,2.838971,0.675887,0.0386362,0.916,Transit,0.954,0.836,5600,2013,0.8794069691435857,0.6158198469302361,WASP
HAT-P-37 b,HAT-P-37,2.79736,1.17362,0.0379273,1.178,Transit,0.929,0.877,5500,2012,0.7179494401467709,0.6305782156252021,HAT
Kepler-198 c,Kepler-198,49.567416,0.019315,0.264081,0.220359,Transit,N/A,0.94,5574,2014,1.8051137095026,0.7642097658492936,Kepler
Kepler-249 b,Kepler-249,3.306539,0.00396389,0.0434366,0.0972433,Transit,N/A,0.482,3568,2014,4.310669825965036,0.033735136972366624,Kepler
WASP-106 b,WASP-106,9.289715,1.925,0.089107,1.085,Transit,1.092,1.393,6055,2014,1.5071058305110396,2.3369415018477016,WASP
HD 81040 b,HD 81040,1001.7,6.87654,1.9372,N/A,RV,0.96,0.918818,5700,2006,N/A,0.7984494580173663,HD
HD 208527 b,HD 208527,875.5,10.014,2.099,N/A,RV,1.6,41.0489,4035,2013,N/A,400.1899907085035,HD
Kepler-165 b,Kepler-165,8.180848,0.0176845,0.0794582,0.206977,Transit,N/A,0.77,5211,2014,1.9944757145923828,0.3917010732892096,Kepler
Kepler-28 b,Kepler-28,5.91213,0.0397121,0.0581375,0.320884,Transit,0.75,0.7,4590,2011,1.2019347620902847,0.1948658968886402,Kepler
Kepler-118 c,Kepler-118,20.17202,0.184717,0.145024,0.685164,Transit,N/A,1.094,5274,2014,0.5742823764777517,0.8296294580567398,Kepler
HAT-P-32 b,HAT-P-32,2.150008,0.861516,0.0342627,1.789,Transit,1.16,1.219,6207,2011,0.15046467677729822,1.9761659469518973,HAT
GJ 163 c,GJ 163,25.63058,0.0215524,0.125354,N/A,RV,0.4,N/A,N/A,2013,N/A,N/A,GJ
HD 95089 b,HD 95089,507,1.12925,1.38575,N/A,RV,1.38,4.34001,4950,2010,N/A,10.131908863305888,HD
XO-3 b,XO-3,3.1915426,13.2849,0.0477112,1.217,Transit,1.41,2.07898,6429,2008,7.370361434021095,6.615510215027325
HD 114729 b,HD 114729,1114,0.944758,2.10235,N/A,RV,0.998,1.46377,5820.94,2003,N/A,2.2039776883506446,HD
Kepler-122 e,Kepler-122,37.993273,0.0208911,0.221179,0.231956,Transit,N/A,1.216,6050,2014,1.673966282130296,1.7749154386316508,Kepler
Kepler-103 c,Kepler-103,179.612,0.0877632,0.64119,0.458519,Transit,1.09,1.44,5845,2014,0.9104218474799027,2.1684632418614713,Kepler
HD 100655 b,HD 100655,157.57,1.33352,0.682908,N/A,RV,1.71,9.3,4801,2012,N/A,41.170082712996724,HD
Kepler-400 b,Kepler-400,9.024389,0.0122424,0.0848304,0.147203,Transit,N/A,1.145,5886,2014,3.838122332353834,1.4098763416456723,Kepler
Kepler-106 c,Kepler-106,13.5708,0.0328478,0.111348,0.223015,N/A,1,1.04,5858,2014,2.961462886388479,1.1411774111939024,Kepler
Kepler-113 b,Kepler-113,4.754,0.013404,0.0502736,0.16237,Transit,0.75,0.69,4725,2014,3.1312610644802277,0.21261526956569107,Kepler
HD 142415 b,HD 142415,386.29999,1.66194,1.06061,N/A,RV,1.065,1.11902,5901.98,2004,N/A,1.361305658479413,HD
